
1000-BAHIA COCOA REVIEW|cocoa:
1001-STANDARD OIL <SRD> TO FORM FINANCIAL UNIT|financial:money:manage:trading:committee:
1002-TEXAS COMMERCE BANCSHARES <TCB> FILES PLAN|houston:county:currency:create:reuter:
1003-TALKING POINT/BANKAMERICA <BAC> EQUITY OFFER|birr:proposed:fenner:outlook:minimizing:
1004-NATIONAL AVERAGE PRICES FOR FARMER-OWNED RESERVE|grain:wheat:corn:barley:oat:sorghum:
1005-ARGENTINE 1986/87 GRAIN/OILSEED REGISTRATIONS|veg:oil:linseed:lin:oil:soy:oil:sun:oil:soybean:oilseed:corn:sunseed:grain:sorghum:wheat:
1006-RED LION INNS FILES PLANS OFFERING|inns:proposed:loan:expects:registration:
1007-USX <X> DEBT DOWGRADED BY MOODY'S|unsecured:investors:positioned:facilities:added:
1008-CHAMPION PRODUCTS <CH> APPROVES STOCK SPLIT|earn:
1009-COMPUTER TERMINAL SYSTEMS <CPML> COMPLETES SALE|acq:
1010-COBANCO INC <CBCO> YEAR NET|earn:
1011-OHIO MATTRESS <OMT> MAY HAVE LOWER 1ST QTR NET|earn:acq:
1012-AM INTERNATIONAL INC <AM> 2ND QTR JAN 31|earn:
1013-BROWN-FORMAN INC <BFD> 4TH QTR NET|earn:
1014-NATIONAL INTERGROUP<NII> TO OFFER PERMIAN UNITS|stake:acquired:price:file:registration:
1015-ECONOMIC SPOTLIGHT - BANKAMERICA <BAC>|birr:proposed:fenner:outlook:minimizing:
1016-NATIONAL HEALTH ENHANCEMENT <NHES> NEW PROGRAM|national:computer:enhancement:physical:reuter:
1017-DEAN FOODS <DF> SEES STRONG 4TH QTR EARNINGS|earn:
1018-BONUS WHEAT FLOUR FOR NORTH YEMEN  -- USDA|wheat:grain:
1019-CREDIT CARD DISCLOSURE BILLS INTRODUCED|shop:disclosure:financial:deal:prospective:
1020-HUGHES CAPITAL UNIT SIGNS PACT WITH BEAR STEARNS|exclusive:photovoltaic:reuter:generating:replace:
1021-MAGMA LOWERS COPPER 0.75 CENT TO 66 CTS|copper:
1022-BROWN-FORMAN <BFDB> SETS STOCK SPLIT, UPS PAYOUT|earn:
1023-ESQUIRE RADIO AND ELECTRONICS INC <EE> 4TH QTR|earn:
1024-SHEARSON LEHMAN NAMES NEW MANAGING DIRECTOR|merrill:fenner:unit:lehman:managing:
1025-BANKERS REPORT BREAKTHROUGH ON VENEZUELAN DEBT|finalized:agreed:obtain:years:including:
1026-UNITED PRESIDENTIAL CORP <UPCO> 4TH QTR NET|earn:
1027-TOWER REPORT DIMINISHES REAGAN'S HOPES OF REBOUND|affair:reuter:certification:month:including:
1028-JANUARY HOUSING SALES DROP, REALTY GROUP SAYS|housing:
1029-ASSETS OF MONEY MARKET MUTUAL FUNDS ROSE 720.4 MLN DLRS IN LATEST WEEK |money:supply:emptySet
1030-U.S. TAX WRITERS SEEK ESTATE TAX CURBS, RAISING 6.7 BILLION DLRS THRU 1991 |emptySet
1031-SENATORS INTRODUCE EXPORT LICENSING REFORM BILL|control:development:reuter:facto:higher:
1032-EXCELAN INC SETS INITIAL STOCK OFFER|dlrs:designs:stockholders:offering:related:
1033-CCX NETWORK <CCXN> SECONDARY OFFERING UNDERWAY|dlrs:shareholders:selling:ccx:received:
1034-FIRST UNION <FUNC> FILES 100 MLN DLR NOTES ISSUE|managed:proposed:rate:shearson:underwriters:
1035-OWENS AND MINOR INC <OBOD> RAISES QTLY DIVIDEND|earn:
1036-COMPUTER LANGUAGE RESEARCH IN <CLRI> 4TH QTR|earn:
1037-<CINRAM LTD> 4TH QTR NET|earn:
1038-DU PONT CO <DD> LAUNCHES IMPROVED ARAMID FIBERS|metals:replace:high:variety:previous:
1039-STANDARD TRUSTCO SEES BETTER YEAR|earn:
1040-HANDY AND HARMAN <HNH> 4TH QTR LOSS|earn:
1041-ICO PRODUCERS TO PRESENT NEW COFFEE PROPOSAL|coffee:
1042-SHULTZ SAYS NO RESIGNATION OVER IRAN REPORT|criticism:declared:visit:reagan:scandal:
1043-MCLEAN'S <MII> U.S. LINES SETS ASSET TRANSFER|acq:ship:
1044-CHEMLAWN <CHEM> RISES ON HOPES FOR HIGHER BIDS|acq:
